question,answer,chat
Is common variable immune deficiency inherited ?,"Most cases of CVID are sporadic and occur in people with no apparent history of the disorder in their family. These cases probably result from a complex interaction of environmental and genetic factors.  In some families, CVID is inherited in an autosomal recessive pattern, which means both copies of a gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.  In very rare cases, this condition is inherited in an autosomal dominant pattern, which means one copy of an altered gene in each cell is sufficient to cause the disorder.  When CVID is caused by mutations in the TNFRSF13B gene, it is often sporadic. When TNFRSF13B gene mutations are inherited, they can cause either autosomal dominant CVID or autosomal recessive CVID.  Not all individuals who inherit a gene mutation associated with CVID will develop the disease. In many cases, affected children have an unaffected parent who shares the same mutation. Additional genetic or environmental factors are probably needed for the disorder to occur.","<s>[INST] Is common variable immune deficiency inherited ?[/INST] Most cases of CVID are sporadic and occur in people with no apparent history of the disorder in their family. These cases probably result from a complex interaction of environmental and genetic factors.  In some families, CVID is inherited in an autosomal recessive pattern, which means both copies of a gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.  In very rare cases, this condition is inherited in an autosomal dominant pattern, which means one copy of an altered gene in each cell is sufficient to cause the disorder.  When CVID is caused by mutations in the TNFRSF13B gene, it is often sporadic. When TNFRSF13B gene mutations are inherited, they can cause either autosomal dominant CVID or autosomal recessive CVID.  Not all individuals who inherit a gene mutation associated with CVID will develop the disease. In many cases, affected children have an unaffected parent who shares the same mutation. Additional genetic or environmental factors are probably needed for the disorder to occur.</s>"
How many people are affected by Chediak-Higashi syndrome ?,Chediak-Higashi syndrome is a rare disorder. About 200 cases of the condition have been reported worldwide.,<s>[INST] How many people are affected by Chediak-Higashi syndrome ?[/INST] Chediak-Higashi syndrome is a rare disorder. About 200 cases of the condition have been reported worldwide.</s>
Is progressive osseous heteroplasia inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.  People normally inherit one copy of each gene from their mother and one copy from their father. For most genes, both copies are active, or ""turned on,"" in all cells. For a small subset of genes, however, only one of the two copies is active. For some of these genes, only the copy inherited from a person's father (the paternal copy) is active, while for other genes, only the copy inherited from a person's mother (the maternal copy) is active. These differences in gene activation based on the gene's parent of origin are caused by a phenomenon called genomic imprinting.  The GNAS gene has a complex genomic imprinting pattern. In some cells of the body the maternal copy of the gene is active, while in others the paternal copy is active. Progressive osseous heteroplasia occurs when mutations affect the paternal copy of the gene.","<s>[INST] Is progressive osseous heteroplasia inherited ?[/INST] This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.  People normally inherit one copy of each gene from their mother and one copy from their father. For most genes, both copies are active, or ""turned on,"" in all cells. For a small subset of genes, however, only one of the two copies is active. For some of these genes, only the copy inherited from a person's father (the paternal copy) is active, while for other genes, only the copy inherited from a person's mother (the maternal copy) is active. These differences in gene activation based on the gene's parent of origin are caused by a phenomenon called genomic imprinting.  The GNAS gene has a complex genomic imprinting pattern. In some cells of the body the maternal copy of the gene is active, while in others the paternal copy is active. Progressive osseous heteroplasia occurs when mutations affect the paternal copy of the gene.</s>"
What is the outlook for Adrenoleukodystrophy ?,Prognosis for patients with childhood cerebral X-ALD is generally poor due to progressive neurological deterioration unless bone marrow transplantation is performed early. Death usually occurs within 1 to 10 years after the onset of symptoms. Adult-onset AMN will progress over decades.,<s>[INST] What is the outlook for Adrenoleukodystrophy ?[/INST] Prognosis for patients with childhood cerebral X-ALD is generally poor due to progressive neurological deterioration unless bone marrow transplantation is performed early. Death usually occurs within 1 to 10 years after the onset of symptoms. Adult-onset AMN will progress over decades.</s>
What are the treatments for abdominal wall defect ?,"These resources address the diagnosis or management of abdominal wall defect:  - Cincinnati Children's Hospital: Gastroschisis  - Cincinnati Children's Hospital: Omphalocele  - Cleveland Clinic: Omphalocele  - Genetic Testing Registry: Congenital omphalocele  - Great Ormond Street Hospital for Children (UK): Gastroschisis  - MedlinePlus Encyclopedia: Gastroschisis Repair  - MedlinePlus Encyclopedia: Gastroschisis Repair--Series (images)  - MedlinePlus Encyclopedia: Omphalocele Repair  - MedlinePlus Encyclopedia: Omphalocele Repair--Series (images)  - Seattle Children's Hospital: Gastroschisis Treatment Options  - Seattle Children's Hospital: Omphalocele Treatment Options  - The Children's Hospital of Philadelphia: Diagnosis and Treatment of Gastroschisis  - The Children's Hospital of Philadelphia: Overview and Treatment of Omphalocele  - University of California, San Francisco Fetal Treatment Center: Gastroschisis  - University of California, San Francisco Fetal Treatment Center: Omphalocele   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care","<s>[INST] What are the treatments for abdominal wall defect ?[/INST] These resources address the diagnosis or management of abdominal wall defect:  - Cincinnati Children's Hospital: Gastroschisis  - Cincinnati Children's Hospital: Omphalocele  - Cleveland Clinic: Omphalocele  - Genetic Testing Registry: Congenital omphalocele  - Great Ormond Street Hospital for Children (UK): Gastroschisis  - MedlinePlus Encyclopedia: Gastroschisis Repair  - MedlinePlus Encyclopedia: Gastroschisis Repair--Series (images)  - MedlinePlus Encyclopedia: Omphalocele Repair  - MedlinePlus Encyclopedia: Omphalocele Repair--Series (images)  - Seattle Children's Hospital: Gastroschisis Treatment Options  - Seattle Children's Hospital: Omphalocele Treatment Options  - The Children's Hospital of Philadelphia: Diagnosis and Treatment of Gastroschisis  - The Children's Hospital of Philadelphia: Overview and Treatment of Omphalocele  - University of California, San Francisco Fetal Treatment Center: Gastroschisis  - University of California, San Francisco Fetal Treatment Center: Omphalocele   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care</s>"
Is Naegeli-Franceschetti-Jadassohn syndrome/dermatopathia pigmentosa reticularis inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.","<s>[INST] Is Naegeli-Franceschetti-Jadassohn syndrome/dermatopathia pigmentosa reticularis inherited ?[/INST] This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.</s>"
What is (are) Cor triatriatum ?,"Cor triatriatum is an extremely rare congenital (present at birth) heart defect. The human heart normally has four chambers, two ventricles and two atria. The two atria are normally separated from each other by a partition called the atrial septum and the two ventricles by the ventricle septum. In cor triatriatum there is a small extra chamber above the left atrium (cor triatriatum sinistrum) or right atrium (cor triatriatum dextrum). The presence of this extra atrial chamber can cause slowed passage of the blood from the lungs to the heart and, over time, lead to features of congestive heart failure and obstruction. In children, cor triatriatum may be associated with major congenital cardiac problems. In adults, it is often an isolated finding. Treatment depends upon the symptoms present and may include medical or surgical approaches.","<s>[INST] What is (are) Cor triatriatum ?[/INST] Cor triatriatum is an extremely rare congenital (present at birth) heart defect. The human heart normally has four chambers, two ventricles and two atria. The two atria are normally separated from each other by a partition called the atrial septum and the two ventricles by the ventricle septum. In cor triatriatum there is a small extra chamber above the left atrium (cor triatriatum sinistrum) or right atrium (cor triatriatum dextrum). The presence of this extra atrial chamber can cause slowed passage of the blood from the lungs to the heart and, over time, lead to features of congestive heart failure and obstruction. In children, cor triatriatum may be associated with major congenital cardiac problems. In adults, it is often an isolated finding. Treatment depends upon the symptoms present and may include medical or surgical approaches.</s>"
What is (are) Parasites - Loiasis ?,Loiasis is an infection caused by the parasitic worm Loa loa.,<s>[INST] What is (are) Parasites - Loiasis ?[/INST] Loiasis is an infection caused by the parasitic worm Loa loa.</s>
What is (are) Insulin Resistance and Prediabetes ?,"Insulin is a hormone made in the pancreas, an organ located behind the stomach. The pancreas contains clusters of cells called islets. Beta cells within the islets make insulin and release it into the blood.
                
Insulin plays a major role in metabolismthe way the body uses digested food for energy. The digestive tract breaks down carbohydratessugars and starches found in many foodsinto glucose. Glucose is a form of sugar that enters the bloodstream. With the help of insulin, cells throughout the body absorb glucose and use it for energy.
                
Insulin's Role in Blood Glucose Control
                
When blood glucose levels rise after a meal, the pancreas releases insulin into the blood. Insulin and glucose then travel in the blood to cells throughout the body.
                
- Insulin helps muscle, fat, and liver cells absorb glucose from the bloodstream, lowering blood glucose levels.  - Insulin stimulates the liver and muscle tissue to store excess glucose. The stored form of glucose is called glycogen.  - Insulin also lowers blood glucose levels by reducing glucose production in the liver.
                
In a healthy person, these functions allow blood glucose and insulin levels to remain in the normal range.","<s>[INST] What is (are) Insulin Resistance and Prediabetes ?[/INST] Insulin is a hormone made in the pancreas, an organ located behind the stomach. The pancreas contains clusters of cells called islets. Beta cells within the islets make insulin and release it into the blood.
                
Insulin plays a major role in metabolismthe way the body uses digested food for energy. The digestive tract breaks down carbohydratessugars and starches found in many foodsinto glucose. Glucose is a form of sugar that enters the bloodstream. With the help of insulin, cells throughout the body absorb glucose and use it for energy.
                
Insulin's Role in Blood Glucose Control
                
When blood glucose levels rise after a meal, the pancreas releases insulin into the blood. Insulin and glucose then travel in the blood to cells throughout the body.
                
- Insulin helps muscle, fat, and liver cells absorb glucose from the bloodstream, lowering blood glucose levels.  - Insulin stimulates the liver and muscle tissue to store excess glucose. The stored form of glucose is called glycogen.  - Insulin also lowers blood glucose levels by reducing glucose production in the liver.
                
In a healthy person, these functions allow blood glucose and insulin levels to remain in the normal range.</s>"
What are the symptoms of Patterned dystrophy of retinal pigment epithelium ?,"What are the signs and symptoms of Patterned dystrophy of retinal pigment epithelium? The Human Phenotype Ontology provides the following list of signs and symptoms for Patterned dystrophy of retinal pigment epithelium. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Metamorphopsia 5% Nyctalopia 5% Photophobia 5% Autosomal dominant inheritance - Macular dystrophy - Reticular retinal dystrophy - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","<s>[INST] What are the symptoms of Patterned dystrophy of retinal pigment epithelium ?[/INST] What are the signs and symptoms of Patterned dystrophy of retinal pigment epithelium? The Human Phenotype Ontology provides the following list of signs and symptoms for Patterned dystrophy of retinal pigment epithelium. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Metamorphopsia 5% Nyctalopia 5% Photophobia 5% Autosomal dominant inheritance - Macular dystrophy - Reticular retinal dystrophy - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.</s>"
